AT,GQ,HB,HD,HF,HG,HI,HM,HO,HQ,HV,HX,HY,IA,ID,IF,IH,IN,IR,LC,LE,LG,LH,LI,NI,OT,SF,TL,UW,WT,YU,AAN,ACE,GC
2749.614542,290,8060,8142,628,231,446,1388,4828,5646,93.687691,1147.71991,1107.939672,1473,6972,4043,364,686,5077,5248,2664,2763,13.72851,325,742,662,516,394,303,277,0,2740.774629,4062.360426,2.757269
1405.502943,4,3447,3469,106,1326,505,1840,4188,2463,98.342158,914.188199,771.771157,740,588,3983,430,162,1743,4347,3993,5821,62.477192,1478,1246,1006,380,1915,1126,343,0,4521.668096,3647.431365,10.298523
315.635658,0,713,709,0,15,87,244,520,436,100,974.232986,946.756294,87,211,615,54,53,314,656,564,717,46.588694,155,140,94,70,108,105,60,1,461.333776,618.711634,1.072574
4204.316335,20,3794,3768,18,137,665,970,2228,2005,100,1092.330934,1052.180237,226,3253,1640,307,168,1510,2728,1991,2506,31.145911,470,540,424,258,791,393,215,0,1792.767178,2390.600618,12.779582
4751.808798,140,9876,9845,539,358,2056,2598,6416,5200,100,1110.681203,1035.875757,633,8569,4321,853,363,3923,7414,5640,7101,33.148165,1547,1614,1274,964,1426,1412,686,0,5043.186349,6408.783488,9.689222
4391.165568,39,5868,5881,112,489,1063,1686,3784,3138,100,1075.006613,1022.996511,476,4097,3004,465,300,2222,4484,3702,4542,36.596568,784,866,826,532,915,811,405,0,3633.653424,3660.962603,8.757304
1709.67996,0,4315,4106,7,56,228,1399,3743,3199,99.92054,1122.139957,1049.373251,635,2406,3543,203,297,2546,4304,3953,5245,49.598109,881,1292,1002,362,1408,1091,694,0,2258.727423,2171.194543,0.613173
1609.104441,181,9002,8669,1529,278,558,3087,9276,6515,82.096837,1110.936853,1026.200158,1421,4485,7812,886,402,5244,9222,8236,10392,42.677618,1488,1458,1164,1080,1792,1315,1145,0,6898.886276,7241.403944,9.358389
743.154243,0,370,361,0,9,72,57,137,171,100,1100.093055,1085.497713,5,363,99,27,11,121,192,121,120,16.50619,20,62,36,24,36,14,12,0,133.039365,152.786515,11.173184
2742.603624,0,1647,1573,0,19,37,398,1121,1396,100,1041.910497,1031.147569,331,827,1115,166,0,1370,2254,2042,2632,55.189767,338,546,440,192,335,167,161,0,1405.953047,1246.719559,0
1864.676642,55,1516,1384,80,0,97,531,1344,1178,93.404513,1019.371502,964.051189,314,437,1392,105,119,986,1803,1630,2117,50.106509,277,322,234,156,230,215,149,0,1230.036604,1050.559335,-0.771938
2487.330898,0,3954,3706,116,10,265,1403,3864,2785,100,1112.82446,1034.059732,588,2505,3004,281,214,2081,4682,4250,4990,50.39895,914,1016,682,528,1116,1093,666,0,2361.068469,1852.813404,1.971913
2325.477392,60,5090,4889,520,473,652,1900,5184,2967,100,1122.981419,1022.297985,730,3458,3180,489,524,2394,5427,4665,5141,40.637104,781,800,652,628,1476,647,559,0,2575.818636,2888.74971,12.917505
2196.203421,0,2784,2511,0,60,62,771,2587,2321,100,1044.148613,979.890962,695,1242,2219,319,0,2041,4454,4208,6164,73.311132,1252,982,448,338,2292,445,332,0,2525.674266,2178.587585,28.561943
2886.197742,395,7264,7027,647,18,436,1304,4998,5237,100,1181.756108,1112.439353,1646,7038,3740,408,480,4683,5240,3414,3723,19.120744,463,1046,844,678,663,568,421,0,2353.943445,2896.042787,1.846429
462.449225,0,1833,1774,0,24,192,947,2407,1342,89.19483,892.414094,811.710579,368,314,2304,220,63,870,2750,2624,4063,80.647082,1012,826,742,272,1496,491,409,0,2848.06593,1868.220368,1.740813
2708.317418,58,2845,2758,275,8,160,507,2020,2077,100,1153.77221,1117.399196,745,2820,1529,122,244,1820,1995,1209,1287,16.805955,168,584,322,160,386,127,121,0,871.995535,1034.229905,2.559612
3551.524997,0,2783,2785,29,77,541,531,1434,1384,100,1130.50102,1081.478648,155,3005,760,183,110,1039,1557,924,1074,18.194139,150,414,362,146,338,133,112,0,969.264562,1728.938401,1.404152
8609.036083,0,6215,6999,885,1632,3691,3079,5799,2016,100,1111.267921,941.709445,280,4886,1441,855,101,1134,7522,6604,6606,54.94926,734,2458,1120,656,2018,862,411,0,1769.260799,3039.101936,12.853052
4544.446521,129,7113,7030,337,155,1009,2036,4547,4069,100,1095.355326,1056.057711,654,5408,3329,459,402,3218,6832,5698,6127,39.557105,874,1776,800,638,920,808,807,0,3219.938638,2793.500759,7.605652
2642.563522,0,6847,6559,35,27,133,1492,4469,5635,62.108378,1108.398247,1051.534769,1406,3451,4589,584,16,5785,7659,6491,8549,43.740087,966,1758,814,610,609,581,548,0,5721.661404,4938.706588,59.676722
979.616655,150,7181,7106,225,350,336,2309,5186,4950,92.103058,1044.20147,985.292668,1327,1279,7743,574,192,4493,4488,2679,2711,15.14779,311,1022,852,400,212,174,155,0,6425.197392,4904.792193,8.484237
2400.478032,0,1607,1611,23,91,169,521,945,949,98.181771,1053.52399,998.253826,181,426,1370,114,112,852,738,357,321,9.427313,31,174,56,52,35,28,27,0,932.632482,823.052931,6.321185
1029.101355,0,532,532,0,23,93,179,394,285,100,1070.763581,1049.884234,47,404,193,68,15,211,479,391,409,34.34089,42,136,58,42,92,41,18,0,141.602308,209.241552,0.309837
3671.926746,95,5825,5858,225,56,655,1261,3390,3570,100,1156.483231,1093.252403,843,5229,2203,339,452,3145,5022,3572,3714,27.147138,352,972,844,746,709,475,327,0,1909.468722,2492.802994,4.123642
3640.437296,108,4370,4354,176,73,320,1043,2731,3030,100,1130.914094,1092.047963,709,3437,2087,247,314,2701,4124,2739,2906,27.045137,321,654,628,520,675,402,350,0,2787.0748,1924.542566,2.05638
2713.13515,0,3146,3013,37,554,298,1039,2744,1988,100,1108.902123,1010.514769,348,1892,1973,271,138,1510,3630,3257,3793,51.312229,559,656,550,310,698,634,289,0,1945.019968,1697.516766,11.769926
1682.024676,0,1952,1882,0,90,99,562,1437,1433,98.171922,1075.298869,1029.819238,368,590,1913,131,59,1253,1369,907,908,18.033764,121,260,228,122,102,79,60,0,1578.549464,1184.766343,2.870815
2884.008856,30,3260,3259,186,175,433,1145,2056,1881,98.837765,1064.121246,1000.380548,276,1130,2582,182,329,1510,1812,1043,1075,15.65686,148,268,262,156,121,103,83,0,2198.151848,1668.812502,7.420545
2105.534446,10,8307,8164,298,239,689,2615,5804,5509,100,1115.541782,1046.303252,1124,3831,6499,435,759,4747,5327,3497,4122,21.184089,659,964,796,600,1001,363,300,0,5147.685424,5149.877998,3.900347
