HD,HF,HO,HZ,IL,IN,IP,LC,LE,LG,AAN,GC
4403,262,5051,961,1176,394,1249,5874,5404,7772,4694.587633,1
9611,298,7434,1999,1153,439,2298,5611,3208,3137,6538.18019,1
556,0,396,133,40,16,160,242,87,51,260.711585,1
5092,84,2754,574,461,247,1033,2970,1773,2090,2468.441438,1
4254,927,2320,327,401,87,662,3139,2146,2521,2296.028115,1
3325,199,2343,465,426,161,545,2853,2424,3088,1732.707224,0
5606,645,4453,474,713,213,930,6084,5206,6203,3947.733169,1
3995,332,3176,777,484,457,896,3507,2891,3252,2126.301368,1
2293,115,2172,394,516,122,521,1244,599,583,3121.893867,1
6510,346,4916,1449,716,585,1620,3777,1453,1417,5190.606151,1
14852,963,10939,2275,1968,875,3345,8325,4019,3921,10355.51918,1
462,19,191,81,32,28,68,314,230,220,217.515829,0
3042,77,2879,527,614,124,961,2812,2428,3024,2795.658696,0
2142,7,1352,175,129,120,377,2475,2143,2220,919.694026,1
9484,268,5764,2183,717,499,2234,6217,4333,4735,2940.908909,1
13812,879,13322,2857,1630,876,3623,19159,16746,18407,6150.916094,1
7414,506,6933,1192,1620,630,1849,7638,6878,9129,5987.748687,1
991,0,626,255,68,40,222,695,578,832,919.247383,1
7434,274,5524,1609,922,305,1978,3796,2575,2991,4491.057325,1
3354,0,3634,1125,400,16,1154,3513,3242,5223,2126.73112,1
2064,0,1920,346,419,190,543,1739,1606,2473,1632.338253,1
3332,226,3554,724,658,90,866,5105,4391,5051,3604.787322,1
1874,7,1305,345,212,146,377,1270,881,1007,1039.587492,1
7497,0,7224,2183,938,144,1853,11786,10044,10674,6022.752229,1
4537,104,3053,1340,428,293,1179,2994,1383,1558,2905.98826,1
126,0,115,28,0,0,32,64,21,28,74.584751,0
3356,125,2739,652,574,231,689,1375,419,265,2676.507038,1
5447,166,2985,892,371,241,1131,3641,2588,2731,1498.2122,1
9298,781,5175,1154,524,335,1620,6627,4827,4898,2330.625321,1
888,243,622,270,134,22,167,954,652,779,413.927172,0
3438,109,2551,726,341,171,883,1842,991,949,2269.968731,1
2624,344,1915,355,454,194,566,1875,1511,1839,2336.874192,1
2376,789,1470,409,244,167,577,1494,1154,1327,1354.317744,1
2157,47,2093,372,422,137,514,1818,1570,1937,1956.914919,1
4142,156,2616,798,495,306,975,2760,1768,1924,2599.780242,1
